順位,チーム名,試合,勝利,敗戦,引分,勝率,勝差,残試合,得点,失点,本塁打,盗塁,打率,防御率,失策,date
1,阪神,119,71,44,4,0.617,M17,24,465,365,65,65,0.247,2.74,71,2023-09-02 14:10:44.503082
2,広島,122,66,52,4,0.559,6.5,21,433,426,84,68,0.245,3.14,63,2023-09-02 14:10:44.503082
3,DeNA,119,61,55,3,0.526,4,24,449,414,88,25,0.251,3.19,56,2023-09-02 14:10:44.503082
4,巨人,119,58,60,1,0.492,4,24,457,456,143,41,0.257,3.67,45,2023-09-02 14:10:44.503082
5,ヤクルト,120,48,69,3,0.41,9.5,23,444,481,99,55,0.238,3.72,61,2023-09-02 14:10:44.503082
6,中日,119,45,71,3,0.388,2.5,24,333,424,56,32,0.24,3.18,70,2023-09-02 14:10:44.503082
1,阪神,120,72,44,4,0.621,M15,23,472,366,67,65,0.247,2.73,71,2023-09-03 14:11:01.356394
2,広島,123,66,53,4,0.555,7.5,20,433,429,84,68,0.245,3.13,64,2023-09-03 14:11:01.356394
3,DeNA,120,61,56,3,0.521,4,23,456,422,89,26,0.251,3.22,57,2023-09-03 14:11:01.356394
4,巨人,120,59,60,1,0.496,3,23,465,463,145,41,0.258,3.7,45,2023-09-03 14:11:01.356394
5,ヤクルト,121,48,70,3,0.407,10.5,22,445,488,100,56,0.238,3.74,62,2023-09-03 14:11:01.356394
6,中日,120,46,71,3,0.393,1.5,23,336,424,56,32,0.241,3.15,70,2023-09-03 14:11:01.356394
1,阪神,121,73,44,4,0.624,M14,22,480,368,67,66,0.247,2.72,71,2023-09-05 14:12:19.544519
2,広島,124,67,53,4,0.558,7.5,19,439,434,84,69,0.246,3.13,65,2023-09-05 14:12:19.544519
3,DeNA,121,61,57,3,0.517,5,22,461,428,91,26,0.251,3.24,57,2023-09-05 14:12:19.544519
4,巨人,121,60,60,1,0.5,2,22,469,466,145,41,0.258,3.69,46,2023-09-05 14:12:19.544519
5,ヤクルト,122,48,71,3,0.403,11.5,21,448,492,101,56,0.238,3.72,65,2023-09-05 14:12:19.544519
6,中日,121,46,72,3,0.39,1.5,22,338,432,57,32,0.241,3.19,71,2023-09-05 14:12:19.544519
1,阪神,122,74,44,4,0.627,M13,21,481,368,67,66,0.248,2.7,72,2023-09-06 14:12:38.292153
2,広島,125,68,53,4,0.562,7.5,18,443,437,85,69,0.247,3.13,66,2023-09-06 14:12:38.292153
3,DeNA,122,61,58,3,0.513,6,21,464,432,92,27,0.25,3.24,59,2023-09-06 14:12:38.292153
4,巨人,122,60,61,1,0.496,2,21,471,470,145,42,0.258,3.69,47,2023-09-06 14:12:38.292153
5,ヤクルト,123,49,71,3,0.408,10.5,20,452,494,102,57,0.238,3.7,65,2023-09-06 14:12:38.292153
6,中日,122,46,73,3,0.387,2.5,21,338,433,57,32,0.241,3.17,71,2023-09-06 14:12:38.292153
1,阪神,122,74,44,4,0.627,M12,21,481,368,67,66,0.248,2.7,72,2023-09-07 14:12:26.779090
2,広島,126,68,54,4,0.557,8,17,444,440,86,71,0.247,3.13,66,2023-09-07 14:12:26.779090
3,DeNA,123,62,58,3,0.517,5,20,467,433,94,27,0.25,3.23,59,2023-09-07 14:12:26.779090
4,巨人,123,61,61,1,0.5,2,20,476,472,147,42,0.258,3.67,47,2023-09-07 14:12:26.779090
5,ヤクルト,124,49,72,3,0.405,11.5,19,454,499,103,57,0.238,3.72,65,2023-09-07 14:12:26.779090
6,中日,122,46,73,3,0.387,2,21,338,433,57,32,0.241,3.17,71,2023-09-07 14:12:26.779090
1,阪神,123,75,44,4,0.63,M10,20,485,369,69,66,0.248,2.69,72,2023-09-08 14:12:24.832385
2,広島,127,68,55,4,0.553,9,16,445,444,86,71,0.247,3.13,66,2023-09-08 14:12:24.832385
3,DeNA,124,63,58,3,0.521,4,19,469,434,95,27,0.25,3.21,59,2023-09-08 14:12:24.832385
4,巨人,124,61,61,2,0.5,2.5,19,476,472,147,42,0.257,3.63,47,2023-09-08 14:12:24.832385
5,ヤクルト,125,49,73,3,0.402,12,18,455,501,103,57,0.238,3.7,65,2023-09-08 14:12:24.832385
6,中日,123,46,73,4,0.387,1.5,20,338,433,57,32,0.239,3.13,71,2023-09-08 14:12:24.832385
1,阪神,124,76,44,4,0.633,M7,19,490,370,69,66,0.248,2.67,73,2023-09-09 14:10:58.521391
2,広島,128,68,56,4,0.548,10,15,446,449,86,71,0.247,3.14,67,2023-09-09 14:10:58.521391
